Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
      Hairdressing and beauty salon managers and proprietors	1253	x	428.7	455.2	x	x	x	322.4	x	x	x	x	x	x
      Shopkeepers and proprietors – wholesale and retail	1254	8	443.6	709.2	x	x	x	x	x	x	x	x	x	x
      Waste disposal and environmental services managers	1255	6	x	857.5	x	x	492.4	570.3	655.7	x	x	x	x	x
      Managers and proprietors in other services n.e.c.	1259	87	530.6	639.7	244.1	332.1	360.3	389.7	457.8	619.7	737.4	794.4	857.6	x
Professional occupations	2	5,660	675.1	734.6	319.5	444.6	487.7	528.9	601.5	744.7	831.6	888.0	954.2	1,171.1
  Science, research, engineering and technology professionals	21	1,284	767.8	821.6	449.3	552.8	589.3	630.8	696.3	845.7	939.1	988.5	1,054.1	1,242.8
    Natural and social science professionals	211	148	676.2	727.5	382.2	499.7	532.2	563.6	617.2	731.8	804.8	848.2	910.3	1,076.7
      Chemical scientists	2111	11	657.5	704.0	x	441.6	506.5	528.5	587.2	730.0	804.0	x	x	x
      Biological scientists and biochemists	2112	58	674.3	713.1	327.0	449.8	504.0	528.9	576.4	732.6	808.9	855.9	917.7	x
      Physical scientists	2113	15	737.9	874.0	x	566.6	570.3	616.5	683.0	822.9	868.3	x	x	x
      Social and humanities scientists	2114	10	587.5	600.2	x	365.7	x	409.2	519.4	635.1	674.7	x	x	x
      Natural and social science professionals n.e.c.	2119	56	690.0	730.7	428.9	548.9	578.2	605.0	650.5	731.8	792.0	847.4	899.3	x
    Engineering professionals	212	387	777.0	815.4	489.2	582.3	618.7	648.3	711.4	855.4	925.9	974.1	1,024.1	1,177.7
      Civil engineers	2121	46	771.3	824.9	495.4	575.7	622.3	651.1	709.4	861.4	921.5	971.8	1,015.8	x
      Mechanical engineers	2122	34	810.2	859.9	534.6	625.9	644.7	697.6	751.4	870.3	998.6	1,069.5	1,148.1	x
      Electrical engineers	2123	20	890.1	890.3	532.2	669.5	693.1	741.0	827.1	959.3	1,030.7	1,054.1	1,097.4	x
      Electronics engineers	2124	x	753.4	821.4	x	x	x	637.5	673.9	800.5	x	x	x	x
      Design and development engineers	2126	80	766.8	792.9	482.8	582.7	611.0	637.4	701.3	827.1	895.6	931.2	977.5	x
      Production and process engineers	2127	46	750.2	784.9	473.5	566.8	593.1	633.6	693.4	821.9	873.9	908.9	961.2	x
      Engineering professionals n.e.c.	2129	156	783.5	813.8	475.7	565.5	607.4	634.6	697.3	860.8	946.5	983.9	1,034.4	1,176.2
    Information technology and telecommunications professionals	213	659	793.9	849.3	450.4	554.8	590.4	640.5	718.7	877.8	976.5	1,040.0	1,111.6	1,305.5
      IT specialist managers	2133	164	896.7	950.1	540.7	644.9	697.5	729.5	809.0	982.4	1,092.4	1,149.9	1,183.8	1,422.4
      IT project and programme managers	2134	18	939.4	981.5	568.0	707.4	751.7	778.4	844.4	1,019.8	1,099.0	1,199.3	1,274.9	x
      IT business analysts, architects and systems designers	2135	108	862.4	933.1	538.6	632.3	673.7	699.6	787.4	957.2	1,065.1	1,126.0	1,189.1	1,442.9
      Programmers and software development professionals	2136	224	774.7	812.2	421.6	536.6	574.9	622.9	694.6	841.9	935.4	970.1	1,039.2	1,249.5
      Web design and development professionals	2137	45	574.9	587.9	334.7	428.1	459.9	479.1	520.8	613.8	681.6	709.1	766.6	x
      Information technology and telecommunications professionals n.e.c.	2139	101	723.6	771.3	345.0	460.0	505.1	549.1	622.8	794.3	900.8	958.2	1,009.8	x
    Conservation and environment professionals	214	41	629.8	661.6	392.2	482.5	504.2	532.8	575.3	670.8	730.6	748.0	789.4	x
      Conservation professionals	2141	10	629.8	655.9	x	483.5	515.1	527.8	589.7	656.9	736.9	x	x	x
      Environment professionals	2142	32	626.5	663.4	396.7	481.8	498.3	532.9	563.2	670.7	728.5	744.0	786.8	x
    Research and development managers 	215	48	848.7	918.1	530.7	622.3	651.6	690.5	774.8	926.4	1,027.6	1,088.4	1,149.9	x
      Research and development managers	2150	48	848.7	918.1	530.7	622.3	651.6	690.5	774.8	926.4	1,027.6	1,088.4	1,149.9	x
  Health professionals	22	1,503	587.3	682.7	275.5	392.7	431.7	466.5	528.3	656.0	732.8	791.5	844.0	1,126.4
    Health professionals	221	443	830.1	1,018.3	381.2	516.8	575.2	621.3	727.2	952.5	1,140.3	1,275.0	1,459.5	1,970.1
      Medical practitioners	2211	253	1,124.9	1,288.1	502.5	685.1	779.0	835.1	973.5	1,302.5	1,580.9	1,710.2	1,876.1	2,270.5
      Psychologists	2212	30	658.6	706.1	316.4	420.6	459.4	504.5	565.8	758.4	874.0	920.4	976.2	x
      Pharmacists	2213	47	706.8	702.5	337.8	438.2	495.5	538.9	639.4	779.1	851.5	881.8	920.1	x
      Ophthalmic opticians	2214	10	612.3	580.6	x	x	x	460.0	510.3	685.3	732.6	781.5	x	x
      Dental practitioners	2215	8	651.1	853.4	x	x	x	519.7	595.0	x	x	x	x	x
      Veterinarians	2216	17	661.4	716.4	x	534.6	556.7	585.5	613.3	707.8	788.9	805.7	847.3	x
      Medical radiographers	2217	39	609.9	621.0	312.9	449.0	476.6	502.3	558.0	651.5	715.8	745.4	792.9	x
      Podiatrists	2218	8	538.4	524.3	x	335.2	x	400.2	489.5	556.4	656.4	x	x	x
