Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
      Conference and exhibition managers and organisers	3546	39	451.3	463.2	x	233.5	294.6	367.2	408.1	493.1	542.2	564.4	599.8	x
    Conservation and environmental associate professionals	355	7	424.7	472.1	x	348.0	353.8	368.2	411.2	440.3	x	x	x	x
      Conservation and environmental associate professionals	3550	7	424.7	472.1	x	348.0	353.8	368.2	411.2	440.3	x	x	x	x
    Public services and other associate professionals	356	481	526.4	559.5	317.7	397.0	427.8	446.7	481.5	574.9	630.2	667.5	700.9	809.0
      Public services associate professionals	3561	144	524.6	556.9	339.5	418.5	x	446.7	485.6	572.6	618.2	664.3	695.7	788.6
      Human resources and industrial relations officers	3562	154	515.2	561.1	319.6	383.3	408.4	431.2	469.6	568.2	622.7	660.3	694.5	804.0
      Vocational and industrial trainers and instructors	3563	120	515.7	538.7	292.5	382.2	412.0	430.4	475.0	560.6	617.5	651.5	682.2	794.7
      Careers advisers and vocational guidance specialists	3564	13	470.1	452.4	x	x	x	409.8	453.1	487.8	541.2	562.3	x	x
      Inspectors of standards and regulations	3565	19	525.9	568.9	327.0	462.7	472.1	477.3	501.5	574.1	636.3	691.5	712.0	x
      Health and safety officers	3567	32	653.3	679.6	407.6	517.5	532.0	546.1	597.2	695.1	758.7	793.6	839.6	x
Administrative and secretarial occupations	4	3,086	356.3	381.5	142.2	201.2	230.0	263.9	316.2	396.2	447.8	479.1	515.9	639.6
  Administrative occupations	41	2,457	370.5	396.8	151.8	218.5	251.9	287.5	334.3	411.4	460.5	490.6	529.5	654.1
    Administrative occupations: Government and related organisations	411	254	410.6	434.9	231.9	305.6	337.3	349.8	379.7	455.6	499.5	527.1	565.2	654.6
      National government administrative occupations	4112	172	409.2	438.1	242.8	309.6	337.3	352.7	378.2	450.1	490.0	519.4	562.6	657.7
      Local government administrative occupations	4113	73	414.3	427.6	192.9	299.0	321.4	346.4	385.9	463.4	509.6	534.1	569.3	640.8
      Officers of non-governmental organisations	4114	9	407.0	432.5	x	x	288.6	324.1	395.6	479.3	522.8	546.5	x	x
    Administrative occupations: Finance	412	550	385.8	407.8	157.3	234.0	271.9	302.9	347.1	428.3	475.1	500.0	534.8	658.7
      Credit controllers	4121	28	414.1	413.7	223.0	306.6	331.9	359.2	387.0	437.1	459.6	479.1	493.5	x
      Book-keepers, payroll managers and wages clerks	4122	282	392.9	423.8	153.4	230.0	268.3	303.1	349.8	440.8	498.1	530.0	574.9	732.6
      Bank and post office clerks	4123	102	373.5	388.0	185.6	252.5	289.4	312.6	348.8	410.7	449.4	467.5	490.5	564.5
      Finance officers	4124	20	435.4	496.2	230.6	325.4	361.8	383.8	403.4	469.8	514.9	535.5	550.8	x
      Financial administrative occupations n.e.c.	4129	118	360.2	370.5	143.7	204.5	237.5	270.0	316.3	397.1	447.9	473.3	503.3	588.7
    Administrative occupations: Records	413	362	381.1	394.6	179.7	263.5	297.1	315.5	347.2	418.9	458.9	479.1	508.5	594.1
      Records clerks and assistants	4131	138	367.5	384.3	182.5	246.2	275.6	298.6	342.1	402.5	444.0	467.3	495.5	582.8
      Pensions and insurance clerks and assistants	4132	37	375.8	400.5	266.7	306.6	320.6	335.4	350.7	407.8	441.0	456.5	490.0	x
      Stock control clerks and assistants	4133	78	396.3	408.0	195.4	295.2	310.5	329.7	355.2	430.5	470.7	491.1	526.7	598.4
      Transport and distribution clerks and assistants	4134	61	459.2	476.9	300.4	354.6	372.9	388.9	425.6	491.5	533.7	554.4	584.0	670.2
      Library clerks and assistants	4135	29	232.3	245.0	x	135.8	150.2	163.9	192.3	269.2	325.3	340.7	363.4	x
      Human resources administrative occupations	4138	20	371.1	367.9	175.4	255.4	291.9	303.3	341.8	393.4	421.3	431.3	453.2	x
    Other administrative occupations	415	1,071	325.8	348.4	119.6	170.4	198.5	225.0	285.9	362.9	402.5	431.2	462.8	578.8
      Sales administrators	4151	78	364.5	375.6	182.3	270.8	297.8	314.3	344.1	396.4	436.6	453.1	475.4	536.4
      Other administrative occupations n.e.c.	4159	993	320.8	346.3	115.9	165.0	191.6	220.0	279.7	359.3	400.1	430.1	461.6	585.4
    Administrative occupations: Office managers and supervisors	416	221	528.7	563.4	243.0	360.0	385.1	421.6	477.4	579.9	651.6	694.2	761.0	907.4
      Office managers	4161	185	544.4	581.7	254.8	363.9	392.9	431.0	480.3	604.4	680.2	729.6	778.7	950.4
      Office supervisors	4162	36	466.6	470.1	213.8	334.5	369.7	382.2	426.0	513.0	547.4	567.3	588.8	x
  Secretarial and related occupations	42	629	295.8	321.9	114.8	161.0	184.0	203.9	245.6	336.0	383.3	412.1	447.2	567.7
    Secretarial and related occupations	421	629	295.8	321.9	114.8	161.0	184.0	203.9	245.6	336.0	383.3	412.1	447.2	567.7
      Medical secretaries	4211	46	344.3	331.1	175.3	217.7	237.6	258.2	306.3	370.8	404.5	x	430.4	x
      Legal secretaries	4212	27	354.5	376.9	205.6	264.4	285.7	301.4	334.7	385.0	421.6	438.1	456.9	x
      School secretaries	4213	20	306.4	315.3	153.9	196.9	230.9	250.2	284.0	327.8	368.4	382.7	402.6	x
      Company secretaries	4214	16	202.5	336.2	99.9	144.1	154.3	154.5	174.7	x	x	x	x	x
      Personal assistants and other secretaries	4215	223	373.0	392.6	100.7	156.4	191.6	221.2	294.2	436.3	509.1	545.3	588.0	721.6
      Receptionists	4216	275	248.6	256.5	108.6	150.0	167.3	183.0	215.2	286.5	317.6	332.2	348.5	404.1
      Typists and related keyboard occupations	4217	22	317.9	332.6	152.5	198.9	214.5	241.0	284.1	345.0	381.2	391.0	413.8	x
Skilled trades occupations	5	1,932	486.0	516.2	254.1	336.2	363.6	390.2	440.8	536.6	599.4	634.2	675.0	801.2
  Skilled agricultural and related trades	51	109	363.6	372.7	183.7	294.0	306.6	319.8	344.5	385.9	412.0	430.9	450.0	522.4
    Agricultural and related trades	511	109	363.6	372.7	183.7	294.0	306.6	319.8	344.5	385.9	412.0	430.9	450.0	522.4
      Farmers	5111	6	437.2	504.5	x	x	x	x	373.6	497.1	x	x	x	x
      Horticultural trades	5112	x	x	363.0	x	x	x	x	x	382.4	x	x	x	x
      Gardeners and landscape gardeners	5113	48	363.9	355.0	149.3	255.6	294.3	311.0	342.5	383.2	407.3	422.5	440.6	x
      Groundsmen and greenkeepers	5114	43	357.6	368.9	243.7	300.0	310.6	319.2	339.4	375.5	399.5	409.9	430.0	x
      Agricultural and fishing trades n.e.c.	5119	8	400.0	410.8	x	328.2	338.9	345.0	356.7	436.0	450.9	x	x	x
  Skilled metal, electrical and electronic trades	52	1,007	569.0	601.8	353.6	422.6	451.9	477.0	524.2	620.7	678.5	712.9	756.9	883.0
    Metal forming, welding and related trades	521	68	513.7	548.8	352.9	400.5	420.3	431.2	471.2	558.6	602.9	638.2	670.7	x
      Smiths and forge workers	5211	x	x	351.8	x	x	x	x	x	x	x	x	x	x
      Moulders, core makers and die casters	5212	x	491.1	507.7	x	x	x	x	x	x	x	x	x	x
      Sheet metal workers	5213	10	514.9	574.5	x	388.0	403.4	438.0	495.1	595.2	668.2	685.7	x	x
      Metal plate workers, and riveters	5214	5	585.0	623.7	x	x	471.4	479.8	509.7	659.0	x	x	x	x
      Welding trades	5215	47	493.1	525.2	352.0	400.2	415.2	425.2	460.5	537.6	580.4	597.8	626.9	x
      Pipe fitters	5216	x	673.8	743.6	x	x	x	x	632.2	x	x	x	x	x
    Metal machining, fitting and instrument making trades	522	406	574.9	611.7	345.8	414.4	440.8	467.9	520.1	635.5	701.4	747.9	792.4	923.1
      Metal machining setters and setter-operators	5221	57	522.7	554.3	364.0	415.0	431.4	452.8	480.9	565.5	612.8	651.7	689.9	x
      Tool makers, tool fitters and markers-out	5222	8	521.8	573.9	x	440.9	465.5	495.0	507.4	551.7	x	x	x	x
      Metal working production and maintenance fitters	5223	323	588.7	623.1	338.0	414.0	444.3	473.2	531.1	652.6	722.2	764.8	812.3	948.1
      Precision instrument makers and repairers	5224	11	464.4	534.0	x	391.4	405.1	414.0	441.2	529.8	577.9	x	x	x
      Air-conditioning and refrigeration engineers	5225	8	655.0	704.7	x	502.1	568.3	587.5	608.8	711.8	801.8	x	x	x
    Vehicle trades	523	174	511.9	541.4	313.4	383.3	412.0	439.0	477.0	545.8	595.3	628.3	656.9	776.6
      Vehicle technicians, mechanics and electricians	5231	127	500.0	520.5	300.1	369.7	401.2	425.4	469.1	534.9	579.9	610.9	636.1	737.7
      Vehicle body builders and repairers 	5232	21	526.2	513.8	337.7	377.6	395.6	427.9	473.5	533.9	571.9	605.0	627.4	x
      Vehicle paint technicians	5234	8	465.9	477.0	x	x	404.0	423.7	456.0	506.7	518.5	x	x	x
      Aircraft maintenance and related trades	5235	10	676.4	780.9	x	528.7	566.6	591.6	645.5	716.7	x	x	x	x
      Boat and ship builders and repairers	5236	x	496.3	547.5	x	x	x	x	479.8	544.4	x	x	x	x
      Rail and rolling stock builders and repairers	5237	x	902.1	877.9	x	x	x	x	873.2	930.3	x	x	x	x
    Electrical and electronic trades	524	317	599.0	618.5	381.7	460.0	488.9	512.1	553.6	641.6	697.1	726.5	760.7	879.9
      Electricians and electrical fitters	5241	134	590.4	604.9	354.5	434.7	472.6	497.0	540.7	637.8	692.4	718.9	756.8	887.6
      Telecommunications engineers	5242	32	618.8	647.3	480.0	548.4	554.3	560.5	593.0	655.0	703.8	731.5	760.4	x
      TV, video and audio engineers	5244	x	625.7	621.9	x	x	x	568.2	607.0	663.7	x	x	x	x
      IT engineers	5245	16	527.4	596.3	x	383.5	420.5	445.1	487.1	595.4	660.1	689.3	x	x
      Electrical and electronic trades n.e.c.	5249	131	599.5	628.0	412.2	474.9	498.0	517.9	553.4	641.6	703.7	736.3	765.6	874.7
    Skilled metal, electrical and electronic trades supervisors	525	42	660.6	715.9	479.6	546.8	566.6	593.5	623.3	706.1	753.8	783.1	810.7	x
      Skilled metal, electrical and electronic trades supervisors	5250	42	660.6	715.9	479.6	546.8	566.6	593.5	623.3	706.1	753.8	783.1	810.7	x
  Skilled construction and building trades	53	311	508.3	531.8	300.0	390.0	418.1	440.0	477.1	547.4	594.5	624.0	654.6	768.5
    Construction and building trades	531	228	494.4	512.2	290.6	371.6	402.9	426.6	460.8	531.3	569.8	602.4	633.3	724.0
      Steel erectors	5311	x	465.4	519.5	x	x	x	x	444.3	543.0	x	x	x	x
      Bricklayers and masons	5312	18	473.3	455.9	227.4	343.5	393.0	408.9	454.4	489.0	509.1	527.8	535.2	x
      Roofers, roof tilers and slaters	5313	16	477.4	486.9	259.2	351.6	391.8	408.8	444.9	509.9	549.3	553.7	x	x
      Plumbers and heating and ventilating engineers	5314	54	574.4	588.5	290.0	433.6	464.9	480.5	544.1	620.0	654.1	680.6	707.4	x
      Carpenters and joiners	5315	84	504.0	514.2	300.9	390.0	414.4	436.9	473.4	530.7	568.4	600.2	629.6	713.9
      Glaziers, window fabricators and fitters	5316	21	386.9	416.4	300.0	320.0	330.0	337.4	361.9	424.6	459.2	478.8	496.7	x
      Construction and building trades n.e.c.	5319	31	464.6	483.6	222.4	354.3	386.0	411.1	447.0	493.1	532.6	552.2	584.5	x
    Building finishing trades	532	40	466.0	473.3	297.7	376.2	398.0	418.2	440.9	496.6	522.3	532.5	550.0	x
      Plasterers	5321	7	486.4	484.5	x	385.5	431.9	439.9	452.6	517.8	524.9	x	x	x
      Floorers and wall tilers	5322	9	496.9	515.4	x	428.5	437.1	440.9	451.7	517.5	540.0	556.7	x	x
      Painters and decorators	5323	24	453.9	454.0	242.1	343.9	370.3	395.9	424.1	478.3	509.4	523.9	538.9	x
    Construction and building trades supervisors	533	43	650.8	689.0	486.5	521.4	550.5	571.4	602.3	688.6	756.2	790.6	823.6	x
      Construction and building trades supervisors	5330	43	650.8	689.0	486.5	521.4	550.5	571.4	602.3	688.6	756.2	790.6	823.6	x
  Textiles, printing and other skilled trades	54	505	357.5	366.9	161.5	225.0	258.5	285.1	324.4	391.0	433.8	455.9	479.1	561.7
    Textiles and garments trades	541	21	367.9	419.5	191.6	276.2	295.6	307.6	325.7	402.0	447.4	484.4	x	x
      Weavers and knitters	5411	x	377.0	397.7	x	x	x	x	x	x	x	x	x	x
      Upholsterers	5412	7	389.8	439.3	x	303.0	320.2	323.5	355.3	427.9	x	x	x	x
      Footwear and leather working trades	5413	6	368.0	451.9	x	x	x	314.9	331.8	399.4	x	x	x	x
      Tailors and dressmakers	5414	x	x	297.8	x	x	x	x	x	x	x	x	x	x
      Textiles, garments and related trades n.e.c.	5419	x	x	458.1	x	x	x	x	x	x	x	x	x	x
    Printing trades	542	34	429.7	438.7	222.8	309.7	333.2	346.5	386.0	467.7	498.4	513.2	547.4	x
      Pre-press technicians	5421	x	479.3	448.9	x	x	x	x	x	x	x	x	x	x
      Printers	5422	16	467.4	486.5	280.4	342.7	382.9	397.2	436.7	505.9	550.9	589.1	x	x
      Print finishing and binding workers	5423	15	373.4	382.6	x	293.5	300.5	312.8	342.0	402.9	450.5	463.6	x	x
    Food preparation and hospitality trades	543	413	345.8	353.9	156.4	217.5	248.8	275.9	313.7	381.5	420.8	441.3	465.4	536.6
      Butchers	5431	31	359.8	371.9	191.3	280.7	300.0	310.9	345.3	388.0	426.0	438.4	445.4	x
      Bakers and flour confectioners	5432	22	340.5	350.1	x	268.5	295.7	302.1	328.8	363.5	384.2	412.4	437.8	x
      Fishmongers and poultry dressers	5433	5	319.1	320.0	x	x	248.1	287.1	311.3	332.3	365.5	x	x	x
      Chefs	5434	234	372.7	377.3	174.7	246.7	280.0	303.9	341.2	407.1	445.3	468.7	487.7	572.4
      Cooks	5435	65	229.7	236.9	116.8	149.1	168.4	180.0	203.6	257.8	281.8	299.2	311.6	360.0
      Catering and bar managers	5436	56	373.5	386.6	190.3	263.0	293.8	313.2	342.4	402.2	439.8	454.2	473.3	x
    Other skilled trades	544	37	410.2	416.1	178.1	277.3	312.0	333.8	372.5	438.7	477.0	498.0	511.2	x
      Glass and ceramics makers, decorators and finishers	5441	x	390.5	412.9	x	x	x	362.5	368.9	416.2	x	x	x	x
      Furniture makers and other craft woodworkers	5442	11	424.6	424.5	x	307.8	330.5	361.8	382.4	447.5	480.0	493.5	x	x
      Florists	5443	x	202.7	246.0	x	x	x	x	197.6	x	x	x	x	x
      Other skilled trades n.e.c.	5449	16	440.2	464.1	x	310.8	344.9	368.3	410.5	477.6	510.8	530.2	x	x
Caring, leisure and other service occupations	6	2,490	280.5	289.3	103.6	159.9	182.2	205.0	244.7	312.7	349.5	371.4	396.4	472.3
  Caring personal service occupations	61	2,050	280.2	285.8	110.7	166.2	188.1	209.7	246.7	310.5	346.3	367.0	390.2	458.4
    Childcare and related personal services	612	738	248.0	248.9	96.2	153.0	172.7	190.8	222.1	274.9	302.7	319.5	338.2	388.5
      Nursery nurses and assistants	6121	180	270.3	259.7	112.5	160.7	179.4	200.5	234.7	293.1	316.6	328.0	343.1	390.1
      Childminders and related occupations	6122	28	269.7	284.1	87.0	140.1	153.6	164.0	208.1	305.9	360.2	387.4	437.5	x
      Playworkers	6123	38	101.3	133.3	23.4	39.7	48.9	55.8	72.3	130.9	166.6	183.9	209.2	x
      Teaching assistants	6125	343	250.6	253.9	116.8	167.5	186.2	202.4	228.8	273.7	302.2	320.6	338.3	387.7
      Educational support assistants	6126	150	242.7	247.2	108.3	161.0	180.4	194.1	219.7	261.9	291.9	307.7	330.7	376.2
    Animal care and control services	613	44	314.7	311.7	119.6	193.5	215.0	245.5	284.3	346.2	375.0	391.9	420.0	x
      Veterinary nurses	6131	12	364.6	352.9	x	250.1	271.5	288.7	335.7	391.2	419.9	432.6	444.9	x
      Pest control officers	6132	x	426.8	427.5	x	x	x	373.4	396.0	452.0	x	x	x	x
      Animal care services occupations n.e.c.	6139	28	285.1	279.7	96.7	150.7	187.7	210.4	253.5	313.0	338.2	350.0	366.0	x
    Caring personal services	614	1,269	300.0	306.3	118.6	175.9	200.2	225.0	267.6	334.7	372.9	393.7	417.8	487.8
      Nursing auxiliaries and assistants	6141	439	325.4	325.0	135.9	197.8	226.4	253.2	293.3	356.6	388.4	405.7	430.4	495.7
      Ambulance staff (excluding paramedics)	6142	18	427.0	417.4	x	314.7	330.8	352.2	387.2	460.3	491.4	501.5	537.4	x
      Dental nurses	6143	42	297.3	299.4	159.9	207.3	224.5	243.7	267.8	324.7	351.6	368.0	378.7	x
      Houseparents and residential wardens	6144	17	394.9	403.7	x	234.5	273.8	311.2	364.0	437.2	489.6	515.6	537.4	x
      Care workers and home carers	6145	675	278.0	285.5	102.9	159.0	179.8	201.9	242.8	309.0	346.2	370.2	397.8	471.1
      Senior care workers	6146	57	350.4	356.8	204.4	256.1	274.0	293.7	325.5	378.6	408.2	434.2	454.5	508.4
      Care escorts	6147	8	147.3	161.2	x	108.0	117.4	124.7	139.2	160.0	x	x	x	x
      Undertakers, mortuary and crematorium assistants	6148	13	391.7	374.2	x	x	x	274.2	335.0	444.5	475.9	483.0	x	x
  Leisure, travel and related personal service occupations	62	440	284.0	305.7	80.5	130.7	153.8	179.4	228.9	325.8	366.7	397.4	440.8	550.3
    Leisure and travel services	621	188	320.5	349.0	56.4	105.0	143.1	178.7	254.8	363.1	444.3	478.9	537.5	709.6
      Sports and leisure assistants	6211	67	168.1	210.4	29.6	55.7	69.4	83.3	112.5	236.6	304.2	328.1	348.4	444.3
      Travel agents	6212	30	328.1	348.2	170.1	216.4	234.5	252.5	290.5	353.5	401.9	432.2	470.0	x
      Air travel assistants	6214	48	398.8	455.1	162.7	257.0	290.4	324.7	353.1	450.5	502.8	564.3	650.7	x
      Rail travel assistants	6215	24	647.6	667.1	428.3	505.3	542.4	574.1	615.2	704.3	763.0	787.2	822.4	x
      Leisure and travel service occupations n.e.c.	6219	19	125.5	173.4	x	53.2	65.1	68.9	78.5	x	x	x	x	x
    Hairdressers and related services	622	96	214.0	232.9	111.7	124.9	138.8	153.1	183.2	247.6	284.4	299.0	319.7	372.5
      Hairdressers and barbers	6221	61	204.5	226.3	114.9	126.3	139.9	150.0	180.0	229.5	266.9	284.2	300.3	x
      Beauticians and related occupations	6222	36	243.0	244.1	102.6	124.2	137.6	156.4	202.2	280.2	300.0	323.6	342.9	x
    Housekeeping and related services	623	109	300.8	296.0	96.1	152.0	173.7	200.2	253.8	336.2	371.5	389.7	409.8	483.9
      Housekeepers and related occupations	6231	42	239.4	253.9	113.9	141.6	159.5	175.5	212.4	280.2	312.5	328.5	344.4	x
      Caretakers	6232	67	338.7	322.5	86.9	161.4	197.4	240.6	302.5	371.4	401.1	424.2	452.6	516.1
    Cleaning and housekeeping managers and supervisors	624	47	299.2	303.7	120.0	162.7	183.1	219.4	260.7	328.4	365.2	391.6	421.6	x
      Cleaning and housekeeping managers and supervisors	6240	47	299.2	303.7	120.0	162.7	183.1	219.4	260.7	328.4	365.2	391.6	421.6	x
Sales and customer service occupations	7	2,120	251.4	278.3	89.3	127.5	145.5	163.3	204.4	300.3	341.8	365.2	393.0	490.6
  Sales occupations	71	1,549	216.8	246.6	78.2	118.9	130.2	146.0	179.0	261.5	306.4	325.6	352.8	431.6
    Sales assistants and retail cashiers	711	1,393	200.9	231.9	74.3	113.9	124.8	137.7	167.9	240.4	286.7	307.1	329.2	400.8
      Sales and retail assistants	7111	1,168	197.1	229.2	69.9	111.3	122.0	135.0	163.9	238.0	284.5	306.2	327.0	401.7
      Retail cashiers and check-out operators	7112	133	181.8	193.4	85.2	111.6	124.3	132.6	155.4	206.6	234.7	251.5	268.5	315.7
      Telephone salespersons	7113	19	346.5	351.9	162.9	247.0	270.0	292.3	322.8	378.2	402.5	426.8	440.8	x
      Pharmacy and other dispensing assistants	7114	56	245.8	242.5	116.6	150.3	168.2	182.1	209.3	289.0	304.7	317.7	326.8	358.2
      Vehicle and parts salespersons and advisers	7115	16	446.6	568.1	317.4	351.6	374.6	388.3	415.7	483.0	541.6	x	x	x
    Sales related occupations	712	65	353.7	352.5	110.4	181.8	222.1	287.5	321.4	386.0	417.8	436.8	460.8	534.4
      Collector salespersons and credit agents	7121	x	x	320.0	x	x	x	x	x	x	x	x	x	x
      Debt, rent and other cash collectors	7122	14	336.5	351.4	217.3	290.9	301.3	302.5	316.6	350.4	385.9	390.0	409.3	x
      Roundspersons and van salespersons	7123	5	395.8	386.7	x	x	329.3	337.4	380.4	415.3	446.0	x	x	x
      Market and street traders and assistants	7124	x	x	x	x	x	x	x	x	x	x	x	x	x
      Merchandisers and window dressers	7125	19	345.0	334.9	72.4	120.8	143.3	167.8	273.1	391.2	433.6	464.9	495.1	x
      Sales related occupations n.e.c.	7129	25	364.1	366.5	103.7	172.7	219.9	292.6	331.4	395.2	421.6	444.5	460.3	x
    Sales supervisors	713	91	375.7	395.8	227.9	295.0	311.1	324.0	352.4	407.7	441.4	470.5	496.6	568.3
      Sales supervisors	7130	91	375.7	395.8	227.9	295.0	311.1	324.0	352.4	407.7	441.4	470.5	496.6	568.3
  Customer service occupations	72	571	346.0	364.4	132.4	196.7	229.4	264.4	314.2	382.3	423.3	450.8	488.8	599.8
    Customer service occupations	721	485	328.6	330.4	124.5	180.8	210.0	238.7	296.0	358.6	392.9	415.3	440.8	526.5
      Call and contact centre occupations	7211	53	324.6	323.1	165.2	225.6	254.7	276.9	305.3	344.1	364.2	375.7	393.0	x
      Telephonists	7213	9	276.6	277.1	126.1	146.1	156.8	179.5	225.0	310.6	336.9	x	x	x
      Communication operators	7214	14	497.4	487.7	x	321.1	390.0	427.6	450.0	537.3	566.4	612.0	623.6	x
      Market research interviewers	7215	6	x	213.6	x	x	x	x	x	x	x	x	x	x
      Customer service occupations n.e.c.	7219	404	329.0	328.6	121.0	177.2	204.5	232.3	293.4	359.1	394.0	415.9	441.3	524.0
    Customer service managers and supervisors	722	86	517.5	557.5	306.2	371.6	392.8	417.1	471.0	571.6	626.5	660.2	713.8	847.7
      Customer service managers and supervisors	7220	86	517.5	557.5	306.2	371.6	392.8	417.1	471.0	571.6	626.5	660.2	713.8	847.7
Process, plant and machine operatives	8	1,547	445.0	474.7	229.5	310.5	331.5	354.5	400.8	492.9	549.9	586.6	629.9	746.3
  Process, plant and machine operatives	81	747	413.2	450.2	246.1	301.9	318.8	334.7	370.9	460.1	515.0	548.3	592.7	704.4
    Process operatives	811	222	388.7	418.3	243.8	297.6	308.6	320.0	351.2	426.3	473.6	496.2	530.3	652.3
      Food, drink and tobacco process operatives	8111	146	352.7	376.8	225.0	280.3	294.5	305.1	324.0	391.1	429.1	454.1	478.9	553.8
      Glass and ceramics process operatives	8112	5	406.6	443.8	x	x	x	344.4	388.2	459.0	x	x	x	x
      Textile process operatives	8113	10	390.2	427.6	x	293.3	312.1	331.0	367.1	425.4	462.1	x	x	x
      Chemical and related process operatives	8114	22	545.0	581.0	325.4	373.8	396.7	413.6	477.8	606.2	689.6	718.2	752.9	x
      Rubber process operatives	8115	x	493.0	478.9	x	x	x	x	482.4	509.1	x	x	x	x
      Plastics process operatives	8116	12	426.9	477.8	297.1	344.0	355.1	364.8	395.4	477.9	519.1	565.0	x	x
      Metal making and treating process operatives	8117	9	479.2	503.1	x	391.1	412.3	419.8	445.3	507.3	562.9	612.6	x	x
      Electroplaters	8118	6	460.5	471.7	x	348.3	350.6	366.4	412.5	484.5	515.6	x	x	x
      Process operatives n.e.c.	8119	9	398.5	446.3	x	311.7	330.0	344.9	359.2	444.7	524.1	545.2	x	x
    Plant and machine operatives	812	91	440.8	473.9	292.6	325.0	341.7	360.4	398.1	480.6	528.1	559.5	594.5	713.7
      Paper and wood machine operatives	8121	18	393.6	425.3	284.8	312.2	328.4	342.2	368.3	429.8	478.5	489.5	517.3	x
      Coal mine operatives	8122	..												
      Quarry workers and related operatives	8123	x	563.2	586.2	x	x	x	x	x	x	x	x	x	x
      Energy plant operatives	8124	6	578.6	611.6	x	x	377.3	436.2	483.1	632.3	x	x	x	x
      Metal working machine operatives	8125	21	413.7	442.3	287.2	321.3	331.5	354.9	379.1	449.6	479.8	513.1	563.3	x
      Water and sewerage plant operatives	8126	12	525.2	524.2	363.1	407.2	430.0	459.2	490.8	542.0	573.5	583.9	616.9	x
      Printing machine assistants	8127	18	399.3	423.2	279.3	300.0	317.2	328.9	354.3	434.3	481.8	505.0	527.8	x
      Plant and machine operatives n.e.c.	8129	13	454.3	524.8	298.3	331.9	341.9	360.7	409.6	499.1	587.7	629.1	x	x
    Assemblers and routine operatives	813	248	424.4	474.1	276.4	316.0	333.4	346.5	382.3	471.4	541.8	583.3	633.8	751.9
      Assemblers (electrical and electronic products)	8131	12	412.8	437.5	292.5	319.0	330.2	355.1	381.5	450.2	497.8	532.4	559.0	x
      Assemblers (vehicles and metal goods)	8132	56	633.8	645.1	334.0	404.4	443.3	485.9	559.8	685.7	739.5	765.9	813.9	x
      Routine inspectors and testers	8133	54	459.7	487.5	295.4	337.4	355.0	380.4	416.7	504.3	556.5	585.0	620.3	x
      Weighers, graders and sorters	8134	6	432.4	395.9	x	x	x	x	353.9	450.2	474.5	x	x	x
      Tyre, exhaust and windscreen fitters	8135	17	355.9	376.9	x	299.0	319.8	330.4	344.6	384.1	419.9	429.9	453.0	x
      Sewing machinists	8137	17	300.0	307.0	165.6	223.0	235.0	258.4	281.9	316.9	338.8	352.1	381.5	x
      Assemblers and routine operatives n.e.c.	8139	86	383.0	416.8	279.7	303.6	321.4	334.8	357.0	419.9	459.9	491.8	519.8	629.7
    Construction operatives	814	186	421.1	444.8	195.1	281.3	302.3	322.5	368.5	479.1	528.0	560.0	600.4	704.5
      Scaffolders, stagers and riggers	8141	16	665.8	687.5	402.7	483.6	494.0	516.8	587.7	733.0	797.7	818.8	833.2	x
      Road construction operatives	8142	23	531.1	540.4	333.4	411.4	440.0	460.0	511.6	567.3	621.9	630.4	656.6	x
      Rail construction and maintenance operatives	8143	7	530.2	615.4	x	389.7	427.1	450.7	481.3	600.4	x	x	x	x
      Construction operatives n.e.c.	8149	140	375.0	392.8	158.1	249.6	280.6	298.0	332.1	419.9	478.7	503.5	537.4	613.5
  Transport and mobile machine drivers and operatives	82	801	471.0	497.6	213.7	323.8	355.3	382.5	428.9	523.8	581.1	616.2	656.9	777.0
    Road transport drivers	821	658	459.0	467.0	191.7	313.5	340.0	368.8	416.0	504.8	557.9	591.0	625.3	717.4
      Large goods vehicle drivers	8211	215	553.8	570.0	377.5	434.2	457.6	479.6	520.5	593.9	637.9	665.1	694.5	772.3
      Van drivers	8212	301	385.2	396.4	150.0	238.1	288.1	314.0	348.2	425.3	470.6	500.0	533.6	635.2
      Bus and coach drivers	8213	123	462.0	472.3	200.2	332.4	377.0	404.2	435.9	498.6	554.0	587.1	621.2	716.9
      Taxi and cab drivers and chauffeurs	8214	17	303.9	354.3	77.7	120.0	133.4	161.6	230.1	379.1	498.9	555.6	576.7	x
      Driving instructors	8215	x	x	673.0	x	x	x	x	x	x	x	x	x	x
    Mobile machine drivers and operatives	822	79	490.4	534.6	318.6	370.6	388.3	405.0	443.8	531.5	597.0	646.7	677.0	797.4
      Crane drivers	8221	8	671.6	773.8	x	487.8	535.3	568.0	646.2	747.2	875.5	x	x	x
      Fork-lift truck drivers	8222	27	412.5	447.0	300.0	332.8	347.1	361.6	388.3	444.1	483.9	509.5	524.0	x
      Agricultural machinery drivers	8223	x	x	439.1	x	x	x	x	x	x	x	x	x	x
      Mobile machine drivers and operatives n.e.c.	8229	41	526.4	555.2	348.6	394.1	414.0	429.8	485.9	569.1	643.6	663.5	708.7	x
    Other drivers and transport operatives	823	63	777.8	769.4	346.7	458.7	500.0	546.7	655.5	934.0	1,001.4	1,031.2	1,038.2	1,176.4
